#Record1
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,missing,11-19-1993,Valid,missing,11-19-1993,missing,missing
officer certification,missing,11-09-1995,Valid,missing,11-09-1995,missing,missing
officer certification,missing,10-28-2005,Valid,missing,10-28-2005,missing,missing
officer certification,missing,10-18-1991,Valid,missing,10-18-1991,missing,missing
officer certification,missing,8-16-2019,Valid,missing,8-16-2019,missing,missing
officer certification,missing,12-07-2007,Valid,missing,12-07-2007,missing,missing
officer certification,missing,6-27-1997,Valid,missing,6-27-1997,missing,missing
officer certification,missing,12-13-2013,Valid,missing,12-13-2013,missing,missing
officer certification,missing,4-18-2014,Valid,missing,4-18-2014,missing,missing
officer certification,missing,11-06-1998,Valid,missing,11-06-1998,missing,missing
officer certification,missing,4-02-2010,Valid,missing,4-02-2010,missing,missing
officer certification,missing,4-04-2003,Valid,missing,4-04-2003,missing,missing
officer certification,missing,12-11-2015,Valid,missing,12-11-2015,missing,missing

#Record2
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,missing,11-02-2018,Valid,missing,11-02-2018,missing,missing
officer certification,missing,12-10-2010,Valid,missing,12-10-2010,missing,missing
officer certification,missing,12-12-2003,Valid,missing,12-12-2003,missing,missing
officer certification,missing,8-19-2022,Valid,missing,8-19-2022,missing,missing
officer certification,missing,11-22-1996,Valid,missing,11-22-1996,missing,missing
officer certification,missing,12-13-2019,Valid,missing,12-13-2019,missing,missing
officer certification,missing,4-19-2019,Valid,missing,4-19-2019,missing,missing
officer certification,missing,10-30-2020,Valid,missing,10-30-2020,missing,missing
officer certification,missing,1-08-2021,Valid,missing,1-08-2021,missing,missing
officer certification,missing,8-07-2015,Valid,missing,8-07-2015,missing,missing
officer certification,missing,4-17-2020,Valid,missing,4-17-2020,missing,missing
officer certification,missing,11-09-1995,Valid,missing,11-09-1995,missing,missing
officer certification,missing,12-23-1994,Valid,missing,12-23-1994,missing,missing
officer certification,missing,4-11-2003,Valid,missing,4-11-2003,missing,missing


#Record3
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,missing,12-13-2017,Valid,missing,12-13-2017,missing,missing
officer certification,missing,9-16-2020,Valid,missing,9-16-2020,missing,missing
officer certification,missing,4-16-1999,Valid,missing,4-16-1999,missing,missing
officer certification,missing,3-23-2001,Valid,missing,3-23-2001,missing,missing
officer certification,missing,3-21-1997,Valid,missing,3-21-1997,missing,missing
officer certification,missing,12-07-2011,Valid,missing,12-07-2011,missing,missing
officer certification,missing,2-28-2014,Valid,missing,2-28-2014,missing,missing
officer certification,missing,12-16-2022,Valid,missing,12-16-2022,missing,missing
officer certification,missing,2-25-2005,Valid,missing,2-25-2005,missing,missing
officer certification,missing,12-04-2015,Valid,missing,12-04-2015,missing,missing
officer certification,missing,10-31-2008,Valid,missing,10-31-2008,missing,missing
officer certification,missing,4-22-2005,Valid,missing,4-22-2005,missing,missing
officer certification,missing,12-09-2011,Valid,missing,12-09-2011,missing,missing

#Record4
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,missing,4-18-2014,Valid,missing,4-18-2014,missing,missing
officer certification,missing,12-21-1984,Valid,missing,12-21-1984,missing,missing
officer certification,missing,9-16-2020,Valid,missing,9-16-2020,missing,missing
officer certification,missing,8-19-2022,Valid,missing,8-19-2022,missing,missing
officer certification,missing,12-04-2015,Valid,missing,12-04-2015,missing,missing
officer certification,missing,5-20-1988,Valid,missing,5-20-1988,missing,missing
officer certification,missing,4-02-2004,Valid,missing,4-02-2004,missing,missing
officer certification,missing,12-13-2002,Valid,missing,12-13-2002,missing,missing
officer certification,missing,12-10-1999,Valid,missing,12-10-1999,missing,missing
officer certification,missing,10-19-2007,Valid,missing,10-19-2007,missing,missing
officer certification,missing,4-21-2006,Valid,missing,4-21-2006,missing,missing
officer certification,missing,4-14-2006,Valid,missing,4-14-2006,missing,missing
officer certification,missing,8-19-2022,Valid,missing,8-19-2022,missing,missing
officer certification,missing,4-17-2020,Valid,missing,4-17-2020,missing,missing

#Record5
-TABLE
Certificate,Level,Status Date,Status,Cert #,Certified,Expires,Probation
officer certification,missing,12-12-2014,Valid,missing,12-12-2014,missing,missing
officer certification,missing,6-14-1996,Valid,missing,6-14-1996,missing,missing
officer certification,missing,6-10-1983,Valid,missing,6-10-1983,missing,missing
officer certification,missing,4-15-2011,Valid,missing,4-15-2011,missing,missing
officer certification,missing,12-13-2002,Valid,missing,12-13-2002,missing,missing
officer certification,missing,12-05-2008,Valid,missing,12-05-2008,missing,missing
officer certification,missing,12-08-1995,Valid,missing,12-08-1995,missing,missing
officer certification,missing,11-04-2011,Valid,missing,11-04-2011,missing,missing
officer certification,missing,4-20-2018,Valid,missing,4-20-2018,missing,missing
officer certification,missing,6-29-2001,Valid,missing,6-29-2001,missing,missing
officer certification,missing,12-16-2022,Valid,missing,12-16-2022,missing,missing
officer certification,missing,4-21-2022,Valid,missing,4-21-2022,missing,missing
officer certification,missing,5-15-2020,Valid,missing,5-15-2020,missing,missing
